FID,COLOR,Area,Precinct,SHAPE_Length,SHAPE_Area
1,0,415,4,24845.9577785957,27115340.8636609
2,0,411,4,24451.252720596,39435833.47554
3,0,412,4,34664.43340031,49133524.5403261
4,0,413,4,21270.2760300808,26401255.8059178
5,0,408,4,23624.1021781798,29397476.967854
6,0,407,4,28384.6754704053,35170952.2030719
7,0,409,4,25112.428343789,30295227.4914825
8,0,414,4,26518.7217833334,36464596.3326607
9,0,410,4,25020.5714738311,33096814.2595256
10,0,404,4,17931.6736467778,18354406.1637252
11,0,405,4,17873.1019122765,19423174.4081296
12,0,406,4,19496.4983720863,20697178.2754268
13,0,612,6,33628.2108295172,41735279.0518422
14,0,310,3,32033.277120893,45612415.2357064
15,0,401,4,17748.4402704622,14903041.0265784
16,0,402,4,16419.4462639537,16826095.751149
17,0,403,4,18946.5760245903,19167679.2992193
18,0,311,3,27961.9597181079,33361400.2076771
19,0,307,3,24909.5725987143,28135114.4343796
20,0,709,7,23059.4916730877,30254524.7350891
21,0,312,3,25740.2608900933,28039907.299375
22,0,308,3,15940.3675162333,15997200.5273874
23,0,712,7,44554.236321847,84943217.0403609
24,0,1009,10,20559.0377592468,19106099.618435
25,0,609,6,26733.5851894707,43652563.8881265
26,0,610,6,20970.2696409782,27399063.6181044
27,0,611,6,21207.3000843138,28205292.958996
28,0,710,7,27551.7004226913,42328790.864339
29,0,210,2,23843.6940970312,25321983.7145563
30,0,309,3,20049.7023418506,23615848.353674
31,0,304,3,20454.8903934319,27916166.5620107
32,0,706,7,24996.6789621657,33480011.4201151
33,0,305,3,18324.8177910562,20617298.5725169
34,0,711,7,27509.2924491935,43530845.4871752
35,0,1006,10,22758.5320706835,27156609.1328791
36,0,606,6,27563.9987632424,43268778.4937475
37,0,607,6,20980.4419679415,27575402.0018102
38,0,511,5,27435.052193728,31328196.8781414
39,0,608,6,20994.8559381746,27445195.0147556
40,0,207,2,26373.8313734177,41796172.4274932
41,0,707,7,21044.2378123837,27231124.8010171
42,0,208,2,26441.6114815217,41883298.13993
43,0,209,2,19845.8358621695,24925911.3922374
44,0,306,3,22897.2649234314,31769430.7360473
45,0,1007,10,24570.4115765438,33696943.822677
46,0,703,7,19082.7258202139,22792546.1276179
47,0,512,5,31720.3585384885,57717440.564274
48,0,1008,10,18024.5441612613,20002967.1131909
49,0,508,5,17730.2831617746,18851035.5639781
50,0,708,7,24947.4103064225,38223756.2131008
51,0,303,3,15394.8157578696,13092239.4130541
52,0,1004,10,22867.9891671797,31475853.4775293
53,0,206,2,15677.3847168624,13437266.4755613
54,0,603,6,32095.0495627993,49333487.9214513
55,0,604,6,20972.0342707071,27423907.7813333
56,0,704,7,20154.9628154815,24151532.746224
57,0,605,6,21052.0783256716,27388642.489006
58,0,509,5,20758.5688163016,26415126.8042945
59,0,204,2,21394.474427607,28443757.3674523
60,0,205,2,21439.8673404671,28707933.089891
61,0,510,5,19160.9341870608,22973699.2708188
62,0,702,7,31969.3273899164,33317850.8167498
63,0,705,7,23971.3351755089,34764265.2429324
64,0,1005,10,33306.891014579,53710672.1381184
65,0,302,3,24584.5970829783,34407566.281485
66,0,1002,10,25689.1599256937,35699446.7150484
67,0,601,6,21529.3551607858,28308229.5323066
68,0,301,3,15936.8770042541,16134984.9376798
69,0,602,6,21009.6661323315,27748244.7554167
70,0,813,8,20813.8337941498,27101140.4968805
71,0,814,8,21108.1288509737,27898197.8312114
72,0,202,2,21058.1903085592,27706853.9959073
73,0,203,2,20755.0686011845,26898914.4552059
74,0,701,7,19607.5332266286,22841666.7263984
75,0,502,5,23703.936575138,32642709.2908547
76,0,1003,10,24229.6456135607,34749007.2455562
77,0,1001,10,28146.9827614974,34947165.2885406
78,0,506,5,19320.464067878,23679808.555599
79,0,501,5,29029.6691584498,38383950.2734601
80,0,503,5,21874.1529185198,26481226.877633
81,0,809,8,26355.9772706549,34998961.5456125
82,0,810,8,20907.5530890379,27191705.3105357
83,0,811,8,20841.329423063,27227493.7406446
84,0,507,5,20997.254169748,22555550.8413701
85,0,812,8,21136.696105238,27976004.1724065
86,0,201,2,21131.7035303942,28122793.5395398
87,0,1210,12,21054.6634301002,27641373.3766482
88,0,910,9,25310.8498537664,34073400.0971079
89,0,1211,12,19231.4464242711,23300951.2568879
90,0,1212,12,22584.0625533743,28541524.8654911
91,0,1110,11,23431.41524165,32203875.1022066
92,0,504,5,23200.6719777182,26997406.5516835
93,0,1111,11,31178.4181252391,39404132.0037788
94,0,1112,11,34023.6894004482,54998684.7506501
95,0,908,9,27070.3774985119,29225819.7309521
96,0,911,9,19000.9440183134,20638229.3300453
97,0,805,8,26282.412523648,41189376.1350012
98,0,505,5,21806.6004825144,30414397.1617561
99,0,806,8,21095.4577030615,27948323.1865149
100,0,909,9,32525.4664329028,37761566.3461274
101,0,807,8,21063.7700918615,27635071.7186648
102,0,808,8,21135.8195067847,27888730.6491004
103,0,1207,12,21083.69261117,27871377.1284455
104,0,1208,12,21073.2531785955,27678620.1217244
105,0,1209,12,27878.3098087945,43785490.6446861
106,0,1106,11,21098.2896267357,27770565.3115181
107,0,1107,11,21213.8168440675,28037795.7967471
108,0,1108,11,21027.0982784842,27529911.1648491
109,0,1109,11,20456.7345839121,27183148.3287316
110,0,904,9,15888.9246085086,14181159.0077089
111,0,905,9,22092.7980665842,25337186.6660046
112,0,906,9,25452.9272444885,35399148.9494814
113,0,907,9,26533.8813768946,43941316.3295574
114,0,1206,12,26326.4567973907,33380656.6036621
115,0,801,8,25959.288816352,40084830.270505
116,0,802,8,20951.2467122022,27454935.9391325
117,0,803,8,20996.4547041839,27412221.3175829
118,0,804,8,20464.2055831353,27198895.0928436
119,0,1201,12,23196.3848676175,22059881.9055157
120,0,1202,12,20995.5128641838,27493498.3482682
121,0,1203,12,21113.2034454112,27928285.5367445
122,0,1204,12,22848.8153074689,30875529.0674236
123,0,1205,12,29468.4688474285,37650427.9237253
124,0,1101,11,21149.6663743187,27649101.274603
125,0,1102,11,21033.0880881053,27600881.1645267
126,0,1103,11,20906.0887981203,27408366.0011598
127,0,1104,11,21032.4913304192,27584836.965724
128,0,1105,11,31064.5329212873,34099528.8410546
129,0,901,9,24563.5157246507,36046106.4965628
130,0,902,9,21194.3093208671,28099127.9968903
131,0,903,9,22085.9999552663,27734300.79939
